Bill of Materials / Pomodoro Timer,,,,,
Eddy Zhao,,,,,
Version 2.0 - 18 June 2025,,,,,
,,,,,
Item Name,Purpose,Item Source,Quantity,Unit Cost (includes taxes),Cost
2pc 12mm Momentary Pushbutton Switch,"Buttons for mode, start/stop, and extend functions",Amazon,2,$7.43,$14.86
2pc 12mm Latching Pushbutton Switch,Power button,Amazon,1,$7.43,$7.43
Clone Arduino Nano Board (3 Pack),Logic / brains for the timer. Not sold individually!!,Amazon,1,$16.88,$16.88
"4.0"" 480x320 TFT LCD Screen",Color screen to make the function of the timer beautiful,Amazon,1,$18.37,$18.37
AA Battery Holder (4 AA),Holds the batteries for the project,Amazon,1,$6.35,$6.35
Jumper Wires,To connect the various electronics on the project,Amazon,1,$7.42,$7.42
3.3V-5V Logic Level Shifter,Logic level shifter is necessary to communicate to the 3.3V LCD,Amazon,1,$7.95,$7.95
Passive Buzzer,To make sounds on input and alarm/timer,Amazon,1,$6.36,$6.36
,,,,,$0.00
,,,,,$0.00
,,,,,$0.00
,,,,,$0.00
TOTAL,,,9,,$85.62
,,,,,
Already have:,,,,,
EC11 Rotary Encoder + Knob,,,,,
400-Point Breadboard,,,,,
3D Printer Filament,,,,,
M3 Screws and Nuts,,,,,
